ID,Title,Week,Day,Hour,Status,Work Seconds,Break Seconds
3636,C Variables and Data Types,0,1,1,Pending,0,0
3637,Control Flow: Loops,0,1,2,Pending,0,0
3638,Functions and Prototypes,0,1,3,Pending,0,0
2145,Pointer Fundamentals,0,2,1,Pending,0,0
2146,Pointer Arithmetic,0,2,2,Pending,0,0
2147,Function Pointers,0,2,3,Pending,0,0
2148,Voltage Fundamentals,0,3,1,Pending,0,0
2149,Kirchhoff Voltage Law,0,3,2,Pending,0,0
2150,Voltage Measurement,0,3,3,Pending,0,0
2151,Resistor Color Codes,0,4,1,Pending,0,0
2152,Resistor Networks,0,4,2,Pending,0,0
2153,Power Ratings,0,4,3,Pending,0,0
2154,Linux Command Line Basics,0,5,1,Pending,0,0
2155,File Operations,0,5,2,Pending,0,0
2156,Text Processing,0,5,3,Pending,0,0
3633,GCC Compilation Process,0,6,1,Pending,0,0
3634,Compiler Flags and Warnings,0,6,2,Pending,0,0
3635,Makefile Fundamentals,0,6,3,Pending,0,0
2160,Binary Number System,0,7,1,Pending,0,0
2161,Binary Arithmetic,0,7,2,Pending,0,0
2162,Bitwise Operations,0,7,3,Pending,0,0
2163,Ohms Law Application,1,1,1,Pending,0,0
2164,Resistance Combinations,1,1,2,Pending,0,0
2165,Power Calculations,1,1,3,Pending,0,0
3966,Kirchhoff Current Law (KCL),1,2,1,Pending,0,0
3967,Kirchhoff Voltage Law (KVL),1,2,2,Pending,0,0
3968,Combined Circuit Analysis,1,2,3,Pending,0,0
3969,Resistor Testing with Multimeter,1,3,1,Pending,0,0
3970,Capacitor Testing,1,3,2,Pending,0,0
3971,LED Forward Voltage Testing,1,3,3,Pending,0,0
3972,Oscilloscope Basic Operation,1,4,1,Pending,0,0
3973,Multimeter Best Practices,1,4,2,Pending,0,0
3974,ESD Protection Setup,1,4,3,Pending,0,0
2175,Study reference manual sections in depth,1,5,1,Pending,0,0
2176,Complete hands-on debugging exercise,1,5,2,Pending,0,0
2177,Apply learned concepts to practical implementation,1,5,3,Pending,0,0
2178,Plan system integration approach and dependencies,1,6,1,Pending,0,0
2179,Execute component interface tests,1,6,2,Pending,0,0
2180,Review integration test results and metrics,1,6,3,Pending,0,0
3975,Review Electronics Concepts,1,7,1,Pending,0,0
3976,Self-Assessment Quiz,1,7,2,Pending,0,0
3977,Prepare for Week 2,1,7,3,Pending,0,0
2184,Set up first Wokwi LED blink project with STM32,2,1,1,Pending,0,0
2185,Simulate button input with debouncing in Wokwi,2,1,2,Pending,0,0
2186,Verify PWM output waveform in Wokwi oscilloscope,2,1,3,Pending,0,0
3999,Multi-Component Simulation,2,2,1,Pending,0,0
4000,Timing Analysis in Simulation,2,2,2,Pending,0,0
4001,Export to Real Hardware,2,2,3,Pending,0,0
2190,Measure voltage rails with multimeter on dev board,2,3,1,Pending,0,0
2191,Debug power sequencing issues with oscilloscope,2,3,2,Pending,0,0
2192,Troubleshoot brownout and voltage droop scenarios,2,3,3,Pending,0,0
2193,Debugging Techniques,2,4,1,Pending,0,0
2194,Use GDB for debugging firmware and inspecting variables,2,4,2,Pending,0,0
2195,Core Dump Analysis,2,4,3,Pending,0,0
2196,Analyze hardware timing diagrams,2,5,1,Pending,0,0
2197,Practice peripheral configuration independently,2,5,2,Pending,0,0
2198,Build working prototype using week concepts,2,5,3,Pending,0,0
2199,Identify integration test points and interfaces,2,6,1,Pending,0,0
2200,Validate data flow between modules,2,6,2,Pending,0,0
2201,Analyze component coupling issues,2,6,3,Pending,0,0
3978,Review Simulation Concepts,2,7,1,Pending,0,0
3979,Power Supply Self-Assessment,2,7,2,Pending,0,0
3980,Prepare for Digital Logic,2,7,3,Pending,0,0
2205,"Build truth tables for AND, OR, XOR gates in Logisim",3,1,1,Pending,0,0
2206,Simulate combinational logic circuits with Logisim,3,1,2,Pending,0,0
2207,Verify digital logic designs with logic analyzer,3,1,3,Pending,0,0
4002,Apply Boolean algebra simplification with K-Map,3,2,1,Pending,0,0
4003,Logic Minimization,3,2,2,Pending,0,0
4004,Dont Care Conditions,3,2,3,Pending,0,0
2211,Implement two-state LED toggle FSM in C with switch-case,3,3,1,Pending,0,0
2212,Build three-state traffic light FSM with defined transitions,3,3,2,Pending,0,0
2213,Design FSM state diagram and convert to C struct-based implementation,3,3,3,Pending,0,0
4005,State Diagram Notation,3,4,1,Pending,0,0
4006,State Transition Tables,3,4,2,Pending,0,0
4007,FSM Coding in C,3,4,3,Pending,0,0
2217,Research advanced configuration options,3,5,1,Pending,0,0
2218,Build test fixture for experimentation,3,5,2,Pending,0,0
2219,Extend examples with custom modifications,3,5,3,Pending,0,0
2220,Design integration validation strategy,3,6,1,Pending,0,0
2221,Test error handling at integration points,3,6,2,Pending,0,0
2222,Document integration lessons learned,3,6,3,Pending,0,0
3981,Review Digital Logic Concepts,3,7,1,Pending,0,0
3982,Logisim Practice Problems,3,7,2,Pending,0,0
3983,Prepare for ARM Architecture,3,7,3,Pending,0,0
2226,Analyze ARM Cortex-M pipeline stages fetch-decode-execute,4,1,1,Pending,0,0
2227,"Map STM32 memory regions: Flash, SRAM, peripherals",4,1,2,Pending,0,0
2228,Explore AHB and APB bus architecture with debugger,4,1,3,Pending,0,0
4008,General Purpose Registers,4,2,1,Pending,0,0
4009,"Special Registers (SP, LR, PC)",4,2,2,Pending,0,0
4010,Program Status Registers,4,2,3,Pending,0,0
2232,Debugging Techniques,4,3,1,Pending,0,0
2233,Use GDB for debugging firmware and inspecting variables,4,3,2,Pending,0,0
2234,Core Dump Analysis,4,3,3,Pending,0,0
2235,Configure Linux development environment with toolchains,4,4,1,Pending,0,0
2236,Set up cross-platform build automation scripts,4,4,2,Pending,0,0
2237,Optimize workspace for dual Windows/Linux development,4,4,3,Pending,0,0
2238,Compare implementation approaches,4,5,1,Pending,0,0
2239,Implement feature without reference code,4,5,2,Pending,0,0
2240,Solve real-world problem using new skills,4,5,3,Pending,0,0
2241,Map component interactions for integration,4,6,1,Pending,0,0
2242,Verify timing constraints across components,4,6,2,Pending,0,0
2243,Assess system stability post-integration,4,6,3,Pending,0,0
3984,Review ARM Architecture,4,7,1,Pending,0,0
3985,Assembly Practice,4,7,2,Pending,0,0
3986,Prepare for C Programming,4,7,3,Pending,0,0
3639,C Syntax: Data Types and Declarations,5,1,1,Pending,0,0
3640,C Syntax: Control Structures,5,1,2,Pending,0,0
3641,C Syntax: Operators and Expressions,5,1,3,Pending,0,0
3642,C Syntax: Arrays and Strings,5,2,1,Pending,0,0
3643,C Syntax: Multi-dimensional Arrays,5,2,2,Pending,0,0
3644,C Syntax: String Library Functions,5,2,3,Pending,0,0
3645,HackerRank: Easy C Problems,5,3,1,Pending,0,0
3646,HackerRank: Medium C Problems,5,3,2,Pending,0,0
3647,Code Review and Optimization,5,3,3,Pending,0,0
2256,Create Notion database template for C syntax quick-reference,5,4,1,Pending,0,0
2257,Build knowledge-base structure for embedded programming concepts,5,4,2,Pending,0,0
2258,Document learning progress tracker with spaced repetition system,5,4,3,Pending,0,0
2259,Investigate edge cases and limitations,5,5,1,Pending,0,0
2260,Optimize implementation for performance,5,5,2,Pending,0,0
2261,Create reusable code module from learnings,5,5,3,Pending,0,0
2262,Prepare integration environment setup,5,6,1,Pending,0,0
2263,Run end-to-end system tests,5,6,2,Pending,0,0
2264,Evaluate performance at integration points,5,6,3,Pending,0,0
3987,Review C Syntax Mastery,5,7,1,Pending,0,0
3988,Coding Challenge Completion,5,7,2,Pending,0,0
3989,Prepare for Pointers,5,7,3,Pending,0,0
2268,Pointer Fundamentals,6,1,1,Pending,0,0
2269,Pointer Arithmetic,6,1,2,Pending,0,0
2270,Function Pointers,6,1,3,Pending,0,0
4011,malloc/calloc/realloc,6,2,1,Pending,0,0
4012,free and Double-Free Prevention,6,2,2,Pending,0,0
4013,Memory Pool Implementation,6,2,3,Pending,0,0
4014,Bitwise AND/OR/XOR/NOT,6,3,1,Pending,0,0
4015,Bit Shifting for Performance,6,3,2,Pending,0,0
4016,Bit Field Structures,6,3,3,Pending,0,0
4017,ISR Best Practices,6,4,1,Pending,0,0
4018,Shared Data Protection,6,4,2,Pending,0,0
4019,Deferred Processing,6,4,3,Pending,0,0
2280,Study industry best practices,6,5,1,Pending,0,0
2281,Practice troubleshooting common issues,6,5,2,Pending,0,0
2282,Document implementation patterns for portfolio,6,5,3,Pending,0,0
2283,Define integration acceptance criteria,6,6,1,Pending,0,0
2284,Debug integration failures systematically,6,6,2,Pending,0,0
2285,Validate integration against requirements,6,6,3,Pending,0,0
3990,Review Pointer Mastery,6,7,1,Pending,0,0
3991,Memory Debugging Practice,6,7,2,Pending,0,0
3992,Prepare for Assembly,6,7,3,Pending,0,0
2289,Understand ARM unified assembly syntax (UAL) and mnemonics,7,1,1,Pending,0,0
2290,Analyze instruction encoding format for ARM Thumb-2,7,1,2,Pending,0,0
2291,Practice reading disassembled C code in ARM assembly,7,1,3,Pending,0,0
2292,ARM Architecture Overview,7,2,1,Pending,0,0
2293,Connect JTAG/SWD debugger for hardware debugging,7,2,2,Pending,0,0
2294,Use JTAG hardware breakpoints for real-time analysis,7,2,3,Pending,0,0
4020,Data Processing Instructions,7,3,1,Pending,0,0
4021,Immediate Values,7,3,2,Pending,0,0
4022,Barrel Shifter Operations,7,3,3,Pending,0,0
2298,Implement LDR/STR single-register transfers,7,4,1,Pending,0,0
2299,Practice LDM/STM multiple-register transfers,7,4,2,Pending,0,0
2300,Analyze memory addressing modes (pre/post indexed),7,4,3,Pending,0,0
2301,"Implement conditional branch instructions (BEQ, BNE, BGT)",7,5,1,Pending,0,0
2302,Build subroutine calls with BL and return with BX LR,7,5,2,Pending,0,0
2303,Design conditional execution using IT blocks,7,5,3,Pending,0,0
2304,Debug assembly code using GDB disassemble command,7,6,1,Pending,0,0
2305,Analyze stack frames and register values in GDB,7,6,2,Pending,0,0
2306,Correlate C source with generated assembly using -S flag,7,6,3,Pending,0,0
2307,Implement optimized memcpy routine in ARM assembly,7,7,1,Pending,0,0
2308,Write assembly startup code for bare-metal Cortex-M,7,7,2,Pending,0,0
2309,Debug interrupt vectors and exception handlers in assembly,7,7,3,Pending,0,0
4035,Understand STM32 TIMx peripheral clock tree and prescaler configuration,8,1,1,Pending,0,0
4036,Configure basic timer with HAL_TIM_Base_Start and counter modes,8,1,2,Pending,0,0
4037,Implement timer update interrupt callback for LED toggle,8,1,3,Pending,0,0
4038,Configure timer update interrupt with HAL_TIM_Base_Start_IT,8,2,1,Pending,0,0
4039,Implement periodic callback for sensor polling,8,2,2,Pending,0,0
4040,Design timeout handler using one-pulse mode,8,2,3,Pending,0,0
4041,Configure PWM output using HAL_TIM_PWM_Start on TIM channel,8,3,1,Pending,0,0
4042,Implement duty cycle control for LED brightness,8,3,2,Pending,0,0
4043,Generate multi-channel PWM for RGB LED control,8,3,3,Pending,0,0
4044,Configure input capture mode for rising edge detection,8,4,1,Pending,0,0
4045,Measure pulse width using input capture timestamps,8,4,2,Pending,0,0
4046,Build frequency meter using input capture period,8,4,3,Pending,0,0
4047,Configure output compare mode for precise timing,8,5,1,Pending,0,0
4048,Generate encoder simulation pulses with output compare,8,5,2,Pending,0,0
4049,Implement IR protocol timing with output compare,8,5,3,Pending,0,0
4050,Control servo motor position with PWM pulse width,8,6,1,Pending,0,0
4051,Implement DC motor speed control with PWM duty cycle,8,6,2,Pending,0,0
4052,Build buzzer tone generator with timer frequency control,8,6,3,Pending,0,0
4053,Review STM32 timer architecture and modes,8,7,1,Pending,0,0
4054,Practice timer configuration exercises,8,7,2,Pending,0,0
4055,Prepare for DMA by understanding timer-DMA interactions,8,7,3,Pending,0,0
2310,UART Protocol,9,1,1,Pending,0,0
2311,UART Configuration,9,1,2,Pending,0,0
2312,UART with DMA,9,1,3,Pending,0,0
2313,Implement I2C communication protocol,9,2,1,Pending,0,0
2314,I2C Master Mode,9,2,2,Pending,0,0
2315,I2C Slave Mode,9,2,3,Pending,0,0
2316,Implement SPI communication protocol,9,3,1,Pending,0,0
2317,Configure SPI clock polarity and phase modes,9,3,2,Pending,0,0
2318,Configure SPI peripheral with DMA transfers,9,3,3,Pending,0,0
2319,Debug I2C communication protocol issues,9,4,1,Pending,0,0
2320,Analyze SPI clock and data timing errors,9,4,2,Pending,0,0
2321,Trace UART framing and baud rate issues,9,4,3,Pending,0,0
2322,DMA Fundamentals,9,5,1,Pending,0,0
2323,DMA Configuration,9,5,2,Pending,0,0
2324,DMA with Peripherals,9,5,3,Pending,0,0
4056,Configure ADC1 for single-channel continuous conversion,9,6,1,Pending,0,0
4023,DMA Transfer Error Detection,9,6,1,Pending,0,0
4024,DMA Interrupt Handling,9,6,2,Pending,0,0
4057,Implement DMA-driven ADC circular buffer transfer,9,6,2,Pending,0,0
4058,Calibrate ADC using internal voltage reference (VREFINT),9,6,3,Pending,0,0
4025,DMA Recovery Strategies,9,6,3,Pending,0,0
2328,Design DMA with UART/SPI integration strategy,9,7,1,Pending,0,0
4059,Implement Analog Watchdog (AWD) interrupt protection,9,7,1,Pending,0,0
4060,Synchronize Timer TRGO with ADC injection,9,7,2,Pending,0,0
2329,Test UART-DMA circular buffer operation,9,7,2,Pending,0,0
2330,Analyze DMA throughput and latency metrics,9,7,3,Pending,0,0
2331,UART Protocol,10,1,1,Pending,0,0
2332,UART Configuration,10,1,2,Pending,0,0
2333,UART with DMA,10,1,3,Pending,0,0
4026,I2C Clock Stretching,10,2,1,Pending,0,0
4027,I2C Multi-Master Arbitration,10,2,2,Pending,0,0
4028,I2C Repeated Start,10,2,3,Pending,0,0
2337,Build I2C sensor driver with error recovery,10,3,1,Pending,0,0
2338,Create SPI flash memory driver with wear leveling,10,3,2,Pending,0,0
2339,Integrate multiple I2C/SPI devices on shared bus,10,3,3,Pending,0,0
2340,Debug UART communication with oscilloscope timing analysis,10,4,1,Pending,0,0
2341,Troubleshoot I2C bus hangs with logic analyzer capture,10,4,2,Pending,0,0
2342,Diagnose SPI clock and data phase issues,10,4,3,Pending,0,0
2343,Study reference manual sections in depth,10,5,1,Pending,0,0
2344,Complete hands-on debugging exercise,10,5,2,Pending,0,0
2345,Apply learned concepts to practical implementation,10,5,3,Pending,0,0
2346,Identify integration test points and interfaces,10,6,1,Pending,0,0
2347,Trace data path through component interfaces,10,6,2,Pending,0,0
2348,Analyze component coupling issues,10,6,3,Pending,0,0
3993,Review Protocol Mastery,10,7,1,Pending,0,0
3994,Protocol Debugging Practice,10,7,2,Pending,0,0
3995,Prepare for Low Power,10,7,3,Pending,0,0
2352,"Understand STM32 Sleep, Stop, and Standby modes",11,1,1,Pending,0,0
2353,"Configure low-power clocks (LSI, LSE)",11,1,2,Pending,0,0
2354,Implement peripheral power gating,11,1,3,Pending,0,0
2355,Configure UART wakeup from stop mode,11,2,1,Pending,0,0
2356,Implement low-power UART with address matching,11,2,2,Pending,0,0
2357,Test UART communication during power transitions,11,2,3,Pending,0,0
4029,RTC Alarm Wakeup,11,3,1,Pending,0,0
4030,Configure GPIO wakeup from low-power modes,11,3,2,Pending,0,0
4031,Configure UART wakeup for sleep mode exit,11,3,3,Pending,0,0
2361,Analyze current consumption in different sleep modes,11,4,1,Pending,0,0
2362,Profile wake-up time and transition latency,11,4,2,Pending,0,0
2363,Optimize power consumption for target battery life,11,4,3,Pending,0,0
4032,Current Measurement Setup,11,5,1,Pending,0,0
4033,Average vs Peak Current,11,5,2,Pending,0,0
4034,Power Profiling Tools,11,5,3,Pending,0,0
2367,Integrate all low power modes into application,11,6,1,Pending,0,0
2368,Measure and optimize total system power budget,11,6,2,Pending,0,0
2369,Calculate expected battery life and document,11,6,3,Pending,0,0
3996,Review Low Power Concepts,11,7,1,Pending,0,0
3997,Power Measurement Practice,11,7,2,Pending,0,0
3998,Prepare for Power Management,11,7,3,Pending,0,0
2373,Configure MCU low-power sleep modes,12,1,1,Pending,0,0
2374,Configure multiple wake sources for low power,12,1,2,Pending,0,0
2375,Sleep Optimization,12,1,3,Pending,0,0
2376,Disable unused peripheral clocks to reduce power,12,2,1,Pending,0,0
2377,Optimize clock tree for low power operation,12,2,2,Pending,0,0
2378,Implement dynamic clock switching on demand,12,2,3,Pending,0,0
2379,Power Analysis,12,3,1,Pending,0,0
2380,Low Power Design,12,3,2,Pending,0,0
2381,Battery Management,12,3,3,Pending,0,0
2382,CPU Profiling,12,4,1,Pending,0,0
2383,Memory Profiling,12,4,2,Pending,0,0
2384,Power Profiling,12,4,3,Pending,0,0
2385,Analyze hardware timing diagrams,12,5,1,Pending,0,0
2386,Practice peripheral configuration independently,12,5,2,Pending,0,0
2387,Build working prototype using week concepts,12,5,3,Pending,0,0
2388,Design integration validation strategy,12,6,1,Pending,0,0
2389,Test error handling at integration points,12,6,2,Pending,0,0
2390,Document integration lessons learned,12,6,3,Pending,0,0
2391,Consolidate understanding of week topics,12,7,1,Pending,0,0
2392,Analyze power consumption profiling results from the week,12,7,2,Pending,0,0
2393,Outline objectives for upcoming week,12,7,3,Pending,0,0
2394,Bootloader Architecture,13,1,1,Pending,0,0
2395,Dual-Bank Update,13,1,2,Pending,0,0
2396,Configure MCUBoot secure bootloader for STM32 Cortex-M,13,1,3,Pending,0,0
2397,Implement image signature verification,13,2,1,Pending,0,0
2398,Configure hardware root of trust (ROTPK),13,2,2,Pending,0,0
2399,Build MCUBoot with signed image verification,13,2,3,Pending,0,0
2400,Cryptography Fundamentals,13,3,1,Pending,0,0
2401,Hardware Crypto,13,3,2,Pending,0,0
2402,Key Management,13,3,3,Pending,0,0
2403,OTA Architecture,13,4,1,Pending,0,0
2404,Delta Updates,13,4,2,Pending,0,0
2405,OTA Rollback,13,4,3,Pending,0,0
2406,Research advanced configuration options,13,5,1,Pending,0,0
2407,Build test fixture for experimentation,13,5,2,Pending,0,0
2408,Extend examples with custom modifications,13,5,3,Pending,0,0
2409,Map component interactions for integration,13,6,1,Pending,0,0
2410,Measure and validate system timing margins,13,6,2,Pending,0,0
2411,Assess system stability post-integration,13,6,3,Pending,0,0
2412,Create summary notes for key concepts,13,7,1,Pending,0,0
2413,Document bootloader update sequence and rollback procedures,13,7,2,Pending,0,0
2414,Identify resources needed for next phase,13,7,3,Pending,0,0
3648,Docker Fundamentals for Embedded,14,1,1,Pending,0,0
3649,Multi-stage Docker Builds,14,1,2,Pending,0,0
3650,Docker Volume Mapping,14,1,3,Pending,0,0
3651,Configure Docker Compose for embedded development,14,2,1,Pending,0,0
3652,Set up ARM GCC toolchain in Docker container,14,2,2,Pending,0,0
3653,Implement layer caching for faster Docker builds,14,2,3,Pending,0,0
3654,Docker Registry Setup,14,3,1,Pending,0,0
3655,CI/CD Docker Integration,14,3,2,Pending,0,0
3656,Build Reproducibility,14,3,3,Pending,0,0
2424,Build host-based unit test harness for firmware modules,14,4,1,Pending,0,0
2425,Mock hardware peripherals for host-based simulation,14,4,2,Pending,0,0
2426,Integrate host simulation with CI pipeline,14,4,3,Pending,0,0
2427,Configure GitHub Actions workflow for firmware builds,14,5,1,Pending,0,0
2428,Set up automated testing in CI pipeline,14,5,2,Pending,0,0
2429,Implement artifact publishing for firmware binaries,14,5,3,Pending,0,0
2430,Prepare integration environment setup,14,6,1,Pending,0,0
2431,Run end-to-end system tests,14,6,2,Pending,0,0
2432,Evaluate performance at integration points,14,6,3,Pending,0,0
2433,Review and refactor week code samples,14,7,1,Pending,0,0
2434,Review containerized build reproducibility and cache optimization,14,7,2,Pending,0,0
2435,Set measurable learning goals,14,7,3,Pending,0,0
2436,FMEA Fundamentals,15,1,1,Pending,0,0
2437,Risk Priority Number,15,1,2,Pending,0,0
2438,FMEA Documentation,15,1,3,Pending,0,0
2439,Fault Tree Analysis Fundamentals,15,2,1,Pending,0,0
2440,Boolean Logic in FTA,15,2,2,Pending,0,0
2441,FTA vs FMEA Integration,15,2,3,Pending,0,0
3657,Watchdog Timer Architecture,15,3,1,Pending,0,0
3658,Watchdog Integration Patterns,15,3,2,Pending,0,0
3659,Watchdog Testing,15,3,3,Pending,0,0
3660,Brownout Detection (BOD),15,4,1,Pending,0,0
3661,EMI Countermeasures,15,4,2,Pending,0,0
3662,Power-Fail Safe Design,15,4,3,Pending,0,0
2448,Compare implementation approaches,15,5,1,Pending,0,0
2449,Implement feature without reference code,15,5,2,Pending,0,0
2450,Solve real-world problem using new skills,15,5,3,Pending,0,0
2451,Define integration acceptance criteria,15,6,1,Pending,0,0
2452,Debug integration failures systematically,15,6,2,Pending,0,0
2453,Validate integration against requirements,15,6,3,Pending,0,0
2454,Identify gaps in understanding,15,7,1,Pending,0,0
2455,Summarize safety design patterns and FMEA analysis learnings,15,7,2,Pending,0,0
2456,Schedule time for complex topics,15,7,3,Pending,0,0
2457,Refactor firmware codebase for clean architecture,16,1,1,Pending,0,0
2458,Optimize critical code paths for performance,16,1,2,Pending,0,0
2459,Document firmware API and module interfaces,16,1,3,Pending,0,0
2460,Add comprehensive error handling and logging,16,2,1,Pending,0,0
2461,Write unit tests for core firmware modules,16,2,2,Pending,0,0
2462,Validate firmware on target hardware,16,2,3,Pending,0,0
2463,Write technical case study of project challenges,16,3,1,Pending,0,0
2464,Document design decisions and trade-offs,16,3,2,Pending,0,0
2465,Create architecture diagrams for portfolio,16,3,3,Pending,0,0
2466,Conduct phase retrospective with learnings,16,4,1,Pending,0,0
2467,Prioritize backlog for next phase,16,4,2,Pending,0,0
2468,Set personal goals for continued growth,16,4,3,Pending,0,0
2469,Investigate edge cases and limitations,16,5,1,Pending,0,0
2470,Optimize implementation for performance,16,5,2,Pending,0,0
2471,Create reusable code module from learnings,16,5,3,Pending,0,0
2472,Plan system integration approach and dependencies,16,6,1,Pending,0,0
2473,Execute component interface tests,16,6,2,Pending,0,0
2474,Review integration test results and metrics,16,6,3,Pending,0,0
2475,Connect concepts to earlier learnings,16,7,1,Pending,0,0
2476,Compile portfolio documentation for phase 2 certification,16,7,2,Pending,0,0
2477,Plan project work for next week,16,7,3,Pending,0,0
2478,Zephyr Overview,17,1,1,Pending,0,0
2479,Write and debug Linux device tree overlays,17,1,2,Pending,0,0
2480,Zephyr Drivers,17,1,3,Pending,0,0
2481,Master West meta-tool for workspace management,17,2,1,Pending,0,0
2482,Implement wait-for-all and wait-for-any patterns,17,2,2,Pending,0,0
2483,Build state machine with event-driven transitions,17,2,3,Pending,0,0
2484,"Explore Zephyr kernel services: threads, fifos, and work queues",17,3,1,Pending,0,0
2485,Configure Zephyr kernel timing with k_sleep and k_timer APIs,17,3,2,Pending,0,0
2486,Implement Zephyr semaphores and mutexes for thread synchronization,17,3,3,Pending,0,0
2487,RTOS Fundamentals,17,4,1,Pending,0,0
2488,Task Management,17,4,2,Pending,0,0
2489,Synchronization,17,4,3,Pending,0,0
2490,Study industry best practices,17,5,1,Pending,0,0
2491,Practice troubleshooting common issues,17,5,2,Pending,0,0
2492,Document implementation patterns for portfolio,17,5,3,Pending,0,0
2493,Identify integration test points and interfaces,17,6,1,Pending,0,0
2494,Verify message passing correctness,17,6,2,Pending,0,0
2495,Analyze component coupling issues,17,6,3,Pending,0,0
2496,Prepare for next week topics,17,7,1,Pending,0,0
2497,Evaluate Zephyr device tree bindings and board configuration,17,7,2,Pending,0,0
2498,Prepare development environment,17,7,3,Pending,0,0
3663,FreeRTOS Task Creation,18,1,1,Pending,0,0
3664,Task State Machine,18,1,2,Pending,0,0
3665,Task Priority Inheritance,18,1,3,Pending,0,0
